legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
c6ae58388eab0f526a2794fc2c952806,2022-04-17,2022-06-13,LAX,JFK,L7AIZNN1,PT8H29M,0,False,False,False,455.82,513.61,3,2595,1655132400||1655149440,2022-06-13T08:00:00.000-07:00||2022-06-13T14:44:00.000-05:00,1655143140||1655162940,2022-06-13T12:59:00.000-05:00||2022-06-13T19:29:00.000-04:00,DFW||JFK,ONT||DFW,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,10740||13500,1215||1380,coach||coach
8ceba9d9fccbd3f42154c639a7de88e2,2022-04-19,2022-06-02,DEN,MIA,QAUNA0MC,PT8H49M,0,False,False,False,316.28,363.60,9,2295,1654152900||1654173900,2022-06-02T00:55:00.000-06:00||2022-06-02T08:45:00.000-04:00,1654162440||1654184640,2022-06-02T05:34:00.000-04:00||2022-06-02T11:44:00.000-04:00,DTW||MIA,DEN||DTW,Delta||Delta,DL||DL,Airbus A321||Boeing 757,9540||10740,1142||1153,coach||coach
2aaf062cf028bdc0f5d095297517f7dc,2022-04-21,2022-05-03,JFK,MIA,Q7AHZNB3,PT8H43M,0,True,False,False,73.49,102.60,7,1445,1651595340||1651613520,2022-05-03T12:29:00.000-04:00||2022-05-03T17:32:00.000-04:00,1651599660||1651626720,2022-05-03T13:41:00.000-04:00||2022-05-03T21:12:00.000-04:00,BOS||MIA,JFK||BOS,American Airlines||American Airlines,AA||AA,AIRBUS INDUSTRIE A321 SHARKLETS||,4320||13200,185||1260,coach||coach
2d27f28ea39de6e1cc0b0f17d8f8fa8b,2022-05-13,2022-07-08,DFW,EWR,TA7NR,PT8H16M,0,False,False,False,168.00,275.58,0,1445,1657304340||1657323900,2022-07-08T13:19:00.000-05:00||2022-07-08T19:45:00.000-04:00,1657314300||1657334100,2022-07-08T17:05:00.000-04:00||2022-07-08T22:35:00.000-04:00,MCO||EWR,DFW||MCO,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A320 SHARKLETS||Airbus A319,9960||10200,None||None,coach||coach
a5108a83bb2960d42a52e317b694ed55,2022-04-21,2022-04-30,ORD,LAX,NH7OAJMN,PT7H55M,0,False,False,False,277.21,321.60,4,2679,1651316400||1651335000,2022-04-30T06:00:00.000-05:00||2022-04-30T09:10:00.000-07:00,1651332600||1651344900,2022-04-30T08:30:00.000-07:00||2022-04-30T11:55:00.000-07:00,SEA||LAX,ORD||SEA,Alaska Airlines||Alaska Airlines,AS||AS,Airbus A320||Boeing 737-900,16200||9900,1723||956,coach||coach
533397ef2ef9c17a72e151394a71a063,2022-06-08,2022-06-12,LGA,SFO,B3AJZNN1,PT8H3M,0,False,False,False,581.40,648.61,5,2567,1655028000||1655040780,2022-06-12T06:00:00.000-04:00||2022-06-12T08:33:00.000-05:00,1655037900||1655056980,2022-06-12T07:45:00.000-05:00||2022-06-12T11:03:00.000-07:00,ORD||SFO,LGA||ORD,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,9900||16200,720||1847,coach||coach
25f7b35056115b63d767386f0760f75f,2022-06-07,2022-06-16,MIA,CLT,LAA3AHDS,PT10H42M,0,False,False,False,374.89,432.21,5,1649,1655384400||1655415000,2022-06-16T09:00:00.000-04:00||2022-06-16T17:30:00.000-04:00,1655395320||1655422920,2022-06-16T12:02:00.000-04:00||2022-06-16T19:42:00.000-04:00,EWR||CLT,MIA||EWR,United||United,UA||UA,Boeing 737 MAX 8||Embraer 170,10920||7920,1104||545,coach||coach
fea3105da00429e4723a5b26fe73cc65,2022-05-30,2022-06-15,BOS,DFW,VUAGZNN1,PT7H42M,0,False,False,False,208.37,246.10,1,1658,1655294640||1655313000,2022-06-15T08:04:00.000-04:00||2022-06-15T13:10:00.000-04:00,1655303160||1655322360,2022-06-15T10:26:00.000-04:00||2022-06-15T14:46:00.000-05:00,CLT||DFW,BOS||CLT,American Airlines||American Airlines,AA||AA,Airbus A321||Airbus A321,8520||9360,728||930,coach||coach
11094b98ba224b43a8e4e8adc11aad2d,2022-06-03,2022-07-20,OAK,EWR,KAUOA0MC,PT13H55M,1,False,False,False,517.21,585.20,9,2796,1658328480||1658359800,2022-07-20T07:48:00.000-07:00||2022-07-20T16:30:00.000-07:00,1658333700||1658378580,2022-07-20T09:15:00.000-07:00||2022-07-21T00:43:00.000-04:00,LAX||EWR,OAK||LAX,Delta||United,DL||UA,Embraer 175 (Enhanced Winglets)||Boeing 777,5220||18780,338||2458,coach||coach
7ad087f6f136c908bdb76d31832356d9,2022-05-29,2022-07-12,IAD,ORD,Q7NC,PT15H14M,1,False,False,False,151.90,202.59,5,671,1657678500||1657707900||1657727400,2022-07-12T22:15:00.000-04:00||2022-07-13T06:25:00.000-04:00||2022-07-13T11:50:00.000-04:00,1657683300||1657710900||1657733340,2022-07-12T23:35:00.000-04:00||2022-07-13T07:15:00.000-04:00||2022-07-13T12:29:00.000-05:00,DUJ||PIT||ORD,IAD||DUJ||PIT,Southern Airways Express||Southern Airways Express||American Airlines,9X||9X||AA,Cessna||Cessna||Airbus A319,4800||3000||5940,181||84||406,coach||coach||coach
b9a19e6ec7b84c29ed237a8172829eeb,2022-06-05,2022-06-19,ORD,DEN,QAA0OKEN,PT2H41M,0,False,False,True,264.19,298.60,7,903,1655691300,2022-06-19T21:15:00.000-05:00,1655700960,2022-06-19T22:56:00.000-06:00,DEN,ORD,United,UA,Airbus A320,9660,903,coach
f1351b3188b7f6800ff7b323c8ef1309,2022-05-29,2022-06-28,JFK,DEN,KAUOA0MC,PT10H3M,0,False,False,False,472.56,531.60,5,2147,1656424260||1656447300,2022-06-28T09:51:00.000-04:00||2022-06-28T16:15:00.000-04:00,1656433140||1656460440,2022-06-28T12:19:00.000-04:00||2022-06-28T17:54:00.000-06:00,SAV||DEN,JFK||SAV,Delta||United,DL||UA,Canadair Regional Jet 900||Airbus A319,8880||13140,726||1421,coach||coach
8f831229e4db64d5868f04845d6ddc89,2022-05-13,2022-06-11,LGA,PHL,V3AJZNN1,PT6H54M,0,False,False,False,319.07,366.60,7,1445,1654965000||1654982760,2022-06-11T12:30:00.000-04:00||2022-06-11T16:26:00.000-05:00,1654974480||1654989840,2022-06-11T14:08:00.000-05:00||2022-06-11T19:24:00.000-04:00,ORD||PHL,LGA||ORD,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A321,9480||7080,None||None,coach||coach
